Name,Taste,Protein_percent,Sugar_percent,Sat_Fat_percent,sodium_percent,Protein,Sugar,sat_fat,sodium,weight_in_g,Protein_in_g,Sugar_in_g,Saturated_Fat_in_g,Sodium_in_mg
Welch's Fruit Snacks,,2.5%,45.0%,0.0%,0.0%,2.1%,45.0%,0.0%,0.9%,60.0,1.5,27.0,0.0,21.5
Planter's Fruit & Nut Trail Mix,Too much sugar and fat,12.5%,37.5%,10.7%,0.1%,10.0%,35.0%,24.0%,1.3%,56.0,7.0,21.0,6.0,30.0
Nature's Bakery Raspberry Fig Bar,,7.1%,35.7%,0.0%,0.1%,5.7%,33.3%,0.0%,3.0%,56.0,4.0,20.0,0.0,70.0
Bazzini Dark Chocolate Almonds,,10.5%,33.3%,14.0%,0.0%,8.6%,31.7%,32.0%,0.4%,57.0,6.0,19.0,8.0,10.0
Fruit Leather,,0.0%,61.5%,0.0%,0.0%,0.0%,26.7%,0.0%,0.2%,26.0,0.0,16.0,0.0,5.0
Special K Protein Bar,Too sweet,22.2%,33.3%,7.8%,0.4%,14.3%,25.0%,14.0%,8.7%,45.0,10.0,15.0,3.5,200.0
Brookside Dark Chocolate Acai,Very Sweet,4.3%,60.9%,10.9%,0.1%,1.4%,23.3%,10.0%,1.1%,23.0,1.0,14.0,2.5,25.0
Kar's Original Trail Mix,Pretty good,17.5%,22.8%,3.5%,0.0%,14.3%,21.7%,8.0%,0.0%,57.0,10.0,13.0,2.0,0.0
Nutrigrain Blueberry,,5.4%,32.4%,1.4%,0.3%,2.9%,20.0%,2.0%,4.8%,37.0,2.0,12.0,0.5,110.0
Special K Pastry Crisp,,4.0%,48.0%,4.0%,0.3%,1.4%,20.0%,4.0%,3.5%,25.0,1.0,12.0,1.0,80.0
Greek Yogurt Bar,"Good, but a little sweet",17.5%,27.5%,6.3%,0.1%,10.0%,18.3%,10.0%,2.0%,40.0,7.0,11.0,2.5,45.0
Chocolate Greek Yogurt Bar,"Too sweet, lots of fat",17.5%,27.5%,12.5%,0.3%,10.0%,18.3%,20.0%,4.6%,40.0,7.0,11.0,5.0,105.0
General Mills Fiber One Bar Oats and Chocolate,,5.0%,25.0%,5.0%,0.2%,2.9%,16.7%,8.0%,3.9%,40.0,2.0,10.0,2.0,90.0
Mr Nature Mix 'n Yogurt,Good,14.3%,32.1%,7.1%,0.0%,5.7%,15.0%,8.0%,0.3%,28.0,4.0,9.0,2.0,6.0
Kar's Yogurt Apple Nut Mix,,10.7%,32.1%,7.1%,0.3%,4.3%,15.0%,8.0%,4.1%,28.0,3.0,9.0,2.0,95.0
Mr Nature Aloha Mix,,10.1%,18.2%,8.1%,0.1%,7.1%,15.0%,16.0%,1.1%,49.5,5.0,9.0,4.0,26.0
Kar's Cranberry Almond Delight,Pretty good,20.0%,22.9%,5.7%,0.2%,10.0%,13.3%,8.0%,3.7%,35.0,7.0,8.0,2.0,85.0
Seneca Apple Chips,,0.0%,40.0%,5.0%,0.1%,0.0%,13.3%,4.0%,0.4%,20.0,0.0,8.0,1.0,10.0
Kellog's Fiber Plus,,5.6%,19.4%,5.6%,0.2%,2.9%,11.7%,8.0%,2.4%,36.0,2.0,7.0,2.0,55.0
Brothers-All-Natural Crisps Strawberry Banana,,8.3%,50.0%,0.0%,0.0%,1.4%,10.0%,0.0%,0.0%,12.0,1.0,6.0,0.0,0.0
Glenny's Soy Crisps (BBQ),A bit salty,25.0%,11.1%,0.0%,1.4%,12.9%,6.7%,0.0%,22.6%,36.0,9.0,4.0,0.0,520.0
Bazzini Pistachios,Like nuts!,22.9%,11.4%,7.1%,0.8%,11.4%,6.7%,10.0%,12.2%,35.0,8.0,4.0,2.5,280.0
Lay's Barbecue,,7.1%,7.1%,4.7%,0.5%,4.3%,5.0%,8.0%,10.0%,42.5,3.0,3.0,2.0,230.0
Glenny's Soy Crisps (Ranch),A bit salty,25.0%,5.6%,0.0%,0.9%,12.9%,3.3%,0.0%,14.8%,36.0,9.0,2.0,0.0,340.0
Kashi Hummus Crisps,Good,13.0%,4.3%,0.0%,0.7%,4.3%,1.7%,0.0%,6.5%,23.0,3.0,1.0,0.0,150.0
Wild Riceworks Chips,Crunchy,8.2%,2.0%,2.0%,0.4%,5.7%,1.7%,4.0%,8.3%,49.0,4.0,1.0,1.0,190.0
Pirate's Booty: Veggie,,7.1%,3.6%,1.8%,0.3%,2.9%,1.7%,2.0%,3.9%,28.0,2.0,1.0,0.5,90.0
Way Better Sweet Potato Chips,,8.3%,0.0%,1.4%,0.3%,4.3%,0.0%,2.0%,5.4%,36.0,3.0,0.0,0.5,125.0
Pirate's Booty: Cheddar,,7.1%,0.0%,3.6%,0.5%,2.9%,0.0%,4.0%,6.1%,28.0,2.0,0.0,1.0,140.0
Sensible Portions Veggie Straws,,0.0%,0.0%,1.8%,0.9%,0.0%,0.0%,2.0%,10.9%,28.0,0.0,0.0,0.5,250.0
Health Warrior Chia Bar: Acai Berry,,12.0%,20.0%,2.0%,0.2%,4.3%,8.3%,2.0%,2.0%,25.0,3.0,5.0,0.5,45.0
Calbee Snapea Crisps,,14.3%,0.0%,2.4%,0.3%,4.3%,0.0%,2.0%,2.6%,21.0,3.0,0.0,0.5,60.0
Justin's dark chocolate peanut butter cup,,6.7%,33.3%,16.7%,0.3%,1.4%,8.3%,10.0%,2.0%,15.0,1.0,5.0,2.5,45.0
Popcorn Indiana Fit Popcorn,,11.8%,0.0%,3.5%,0.8%,1.4%,0.0%,1.2%,2.8%,8.5,1.0,0.0,0.3,65.0
Terra Chips Original,,3.6%,10.7%,3.6%,0.2%,1.4%,5.0%,4.0%,2.2%,28.0,1.0,3.0,1.0,50.0
Newman's Own Peanut Butter Cups,,8.8%,35.3%,20.6%,0.2%,4.3%,20.0%,28.0%,2.6%,34.0,3.0,12.0,7.0,60.0
Kettle Buffalo Bleu Potato Chips,,7.1%,2.4%,3.6%,0.6%,4.3%,1.7%,6.0%,10.9%,42.0,3.0,1.0,1.5,250.0
Glenny's 100 calorie Brownie,,9.8%,26.8%,3.7%,0.2%,5.7%,18.3%,6.0%,3.7%,41.0,4.0,11.0,1.5,85.0
Sunshine Cheez-Its,,14.3%,0.0%,3.6%,0.8%,8.6%,0.0%,6.0%,15.2%,42.0,6.0,0.0,1.5,350.0
That's It Apple + Banana,,2.9%,62.9%,0.0%,0.1%,1.4%,36.7%,0.0%,1.3%,35.0,1.0,22.0,0.0,30.0
Pure Organic Cherry Cashew Bar,,12.5%,35.4%,2.1%,0.0%,8.6%,28.3%,4.0%,0.2%,48.0,6.0,17.0,1.0,5.0